1000000032,RF35907738000001000000032
1000000033,RF08907738000001000000033
1000000037,RF94907738000001000000037
1000000038,RF67907738000001000000038
1000000039,RF40907738000001000000039
1000000041,RF83907738000001000000041
1000000047,RF18907738000001000000047
1000000050,RF34907738000001000000050
1000000051,RF07907738000001000000051
1000000052,RF77907738000001000000052
1000000053,RF50907738000001000000053
1000000054,RF23907738000001000000054
1000000055,RF93907738000001000000055
1000000056,RF66907738000001000000056
1000000057,RF39907738000001000000057
1000000058,RF12907738000001000000058
1000000060,RF55907738000001000000060
1000000061,RF28907738000001000000061
1000000062,RF98907738000001000000062
1000000063,RF71907738000001000000063
1000000064,RF44907738000001000000064
1000000065,RF17907738000001000000065
1000000066,RF87907738000001000000066
1000000067,RF60907738000001000000067
1000000068,RF33907738000001000000068
1000000069,RF06907738000001000000069
1000000070,RF76907738000001000000070
1000000071,RF49907738000001000000071
1000000072,RF22907738000001000000072
1000000073,RF92907738000001000000073
1000000090,RF21907738000001000000090
1000000094,RF10907738000001000000094
1000000095,RF80907738000001000000095
1000000098,RF96907738000001000000098
1000000100,RF42907738000001000000100
1000000101,RF15907738000001000000101
1000000103,RF58907738000001000000103
1000000114,RF52907738000001000000114
1000000115,RF25907738000001000000115
1000000116,RF95907738000001000000116
1000000117,RF68907738000001000000117
1000000118,RF41907738000001000000118
1000000121,RF57907738000001000000121
1000000122,RF30907738000001000000122
1000000124,RF73907738000001000000124
1000000125,RF46907738000001000000125
1000000127,RF89907738000001000000127
1000000128,RF62907738000001000000128
1000000129,RF35907738000001000000129
1000000132,RF51907738000001000000132
1000000133,RF24907738000001000000133
1000000135,RF67907738000001000000135
1000000136,RF40907738000001000000136
1000001457,RF69907738000001000001457
1000001458,RF42907738000001000001458
1000001464,RF74907738000001000001464
1000001466,RF20907738000001000001466
1000001467,RF90907738000001000001467
1000001468,RF63907738000001000001468
1000001470,RF09907738000001000001470
1000001471,RF79907738000001000001471
1000001472,RF52907738000001000001472
1000001473,RF25907738000001000001473
1000001475,RF68907738000001000001475
1000001476,RF41907738000001000001476
1000001477,RF14907738000001000001477
1000001478,RF84907738000001000001478
1000001479,RF57907738000001000001479
1000001481,RF03907738000001000001481
1000001482,RF73907738000001000001482
1000001483,RF46907738000001000001483
1000001484,RF19907738000001000001484
1000001486,RF62907738000001000001486
1000001487,RF35907738000001000001487
1000001488,RF08907738000001000001488
1000001489,RF78907738000001000001489
1000001490,RF51907738000001000001490
1000001491,RF24907738000001000001491
1000001492,RF94907738000001000001492
1000001493,RF67907738000001000001493
1000001494,RF40907738000001000001494
1000001495,RF13907738000001000001495
1000001496,RF83907738000001000001496
1000001497,RF56907738000001000001497
1000001498,RF29907738000001000001498
1000001499,RF02907738000001000001499
1000007000,RF79907738000001000007000
1000008000,RF45907738000001000008000
1000008001,RF18907738000001000008001
1000009000,RF11907738000001000009000
1000009001,RF81907738000001000009001
1000009002,RF54907738000001000009002
1000009003,RF27907738000001000009003
1000009004,RF97907738000001000009004
1000009005,RF70907738000001000009005
1000010000,RF74907738000001000010000
1000011001,RF13907738000001000011001
1000011002,RF83907738000001000011002
1000011003,RF56907738000001000011003
1000011004,RF29907738000001000011004
1000011005,RF02907738000001000011005
1000011006,RF72907738000001000011006
1000011007,RF45907738000001000011007
1000012000,RF06907738000001000012000
1000012001,RF76907738000001000012001
1000012002,RF49907738000001000012002
1000012003,RF22907738000001000012003
1000012004,RF92907738000001000012004
1000013000,RF69907738000001000013000
1000014000,RF35907738000001000014000
1000015000,RF98907738000001000015000
1000016000,RF64907738000001000016000
1000016001,RF37907738000001000016001
1000016002,RF10907738000001000016002
1000016003,RF80907738000001000016003
1000016004,RF53907738000001000016004
1000017000,RF30907738000001000017000
1000018000,RF93907738000001000018000
1000018001,RF66907738000001000018001
1000018002,RF39907738000001000018002
1000018003,RF12907738000001000018003
1000018004,RF82907738000001000018004
1000018005,RF55907738000001000018005
1000019000,RF59907738000001000019000
1000019001,RF32907738000001000019001
1000019002,RF05907738000001000019002
1000019003,RF75907738000001000019003
1000019004,RF48907738000001000019004
1000020000,RF25907738000001000020000
1000020002,RF68907738000001000020002
1000020003,RF41907738000001000020003
1000020005,RF84907738000001000020005
1000020006,RF57907738000001000020006
1000020007,RF30907738000001000020007
1000020008,RF03907738000001000020008
1000020009,RF73907738000001000020009
1000020010,RF46907738000001000020010
1000020011,RF19907738000001000020011
1000020012,RF89907738000001000020012
1000021000,RF88907738000001000021000
1000021001,RF61907738000001000021001
1000021002,RF34907738000001000021002
1000021004,RF77907738000001000021004
1000021005,RF50907738000001000021005
1000021006,RF23907738000001000021006
1000022000,RF54907738000001000022000
1000023000,RF20907738000001000023000
1000023001,RF90907738000001000023001
1000023003,RF36907738000001000023003
1000024000,RF83907738000001000024000
1000024001,RF56907738000001000024001
1000025000,RF49907738000001000025000
1000026000,RF15907738000001000026000
1000026001,RF85907738000001000026001
1000026002,RF58907738000001000026002
1000027000,RF78907738000001000027000
1000027001,RF51907738000001000027001
1000027002,RF24907738000001000027002
1000027003,RF94907738000001000027003
1000027004,RF67907738000001000027004
1000027005,RF40907738000001000027005
1000028000,RF44907738000001000028000
1000028001,RF17907738000001000028001
1000028002,RF87907738000001000028002
1000028003,RF60907738000001000028003
1000028004,RF33907738000001000028004
1000028005,RF06907738000001000028005
1000028006,RF76907738000001000028006
1000029000,RF10907738000001000029000
1000029002,RF53907738000001000029002
1000029003,RF26907738000001000029003
1000029005,RF69907738000001000029005
1000029006,RF42907738000001000029006
1000030000,RF73907738000001000030000
1000030001,RF46907738000001000030001
1000030002,RF19907738000001000030002
1000031003,RF55907738000001000031003
1000031004,RF28907738000001000031004
1000031007,RF44907738000001000031007
1000031009,RF87907738000001000031009
1000031010,RF60907738000001000031010
1000031012,RF06907738000001000031012
1000032000,RF05907738000001000032000
1000032001,RF75907738000001000032001
1000033000,RF68907738000001000033000
1000034000,RF34907738000001000034000
1000035000,RF97907738000001000035000
1000036000,RF63907738000001000036000
1000037000,RF29907738000001000037000
1000040000,RF24907738000001000040000
1000041000,RF87907738000001000041000
1000043000,RF19907738000001000043000
1000044000,RF82907738000001000044000
1000044001,RF55907738000001000044001
1000044002,RF28907738000001000044002
1000044003,RF98907738000001000044003
1000000034,RF94908818000001000000034
1000000035,RF67908818000001000000035
